sample,super_pop,PC1,PC2,afr_score
HG01066,AMR,2.93324003968959,4.202310954020084,0.3564971819455596
HG01067,AMR,-8.508067851928507,11.306497270557948,0.0219847046734111
HG01069,AMR,0.06172702871431613,4.959605378411502,0.2896998469820188
HG01070,AMR,-3.099955733856311,2.716871223900411,0.2464724741602717
HG01072,AMR,-8.400379006700575,6.856663482313805,0.0832517643237286
HG01073,AMR,-2.1604657377239995,10.525629161665519,0.18582918547058827
HG01075,AMR,-7.028295937748217,15.75375949910947,0.01848752693939583
HG01077,AMR,-5.1210104254357915,10.926747415211029,0.12518863171401823
HG01079,AMR,4.888199420784022,14.362902180227954,0.2970666778419661
HG01080,AMR,0.3097966622594998,8.818727600998558,0.2667884923072489
HG01082,AMR,6.299655623022836,7.58983345883408,0.39157461708629504
HG01083,AMR,-10.216461854368536,10.541841187173954,0.0
HG01085,AMR,-6.756473140750953,10.548598615524563,0.05681984455097998
HG01086,AMR,-2.7816458655974143,10.266163823606863,0.1585680748213982
HG01088,AMR,8.368393778403687,5.336279490437872,0.46142918311683606
HG01089,AMR,-9.63470817865626,13.28995539219614,0.0
HG01092,AMR,5.762391511690641,8.408169261112874,0.3957707156263356
HG01094,AMR,-3.4302759758128545,7.7375311537015925,0.18670426830929296
HG01095,AMR,-1.6581262535219379,7.275136245515818,0.22596242888492657
HG01097,AMR,-9.827134747287973,15.343624187716578,0.0
HG01098,AMR,-0.6888727158573208,9.088671171236319,0.21952432873766975
HG01101,AMR,1.6048630626465437,10.536055311312989,0.2645515198841784
HG01102,AMR,-4.962075101696448,8.34422076419326,0.17048906461439367
HG01104,AMR,-10.178949277137644,7.887151274545028,0.029881408381469556
HG01105,AMR,-5.471722024532007,8.08363984317839,0.13601362140429085
